City,Safe and accessible housing,Adequate affordable energy supply,Inclusive access to safe drinking water,Effective Sanitation,Sufficient affordable food supply,Inclusive labour policies,Relevant skills and training,Local business development and innovation,Supportive financing mechanisms,Diverse protection of livelihoods following a shock,Robust public health systems,Adequate access to quality healthcare,Emergency medical care,Effective emergency response services,Local community support,Cohesive communities,Strong city-wide identity and culture,Actively engaged citizens,Effective systems to deter crime,Proactive corruption prevention,Competent policing,Accessible criminal & civil justice,Well-managed public finances,Comprehensive business continuity planning,Diverse economic base,Attractive business environment,Strong integration with regional and global economies,Comprehensive hazard and exposure mapping,"Appropriate codes, standards and enforcement",Effectively managed protective ecosystems,Robust protective infrastructure,Effective stewardship of ecosystems,Flexible infrastructure,Retained spare capacity,Diligent maintenance & continuity,Adequate continuity for critical assets and services,Diverse and affordable transport networks,Effective transport operation and maintenance,Reliable communications technology,Secure technology networks,Appropriate government decision-making,Effective co-ordination with other government bodies,Proactive multi-stakeholder collaboration,Comprehensive hazard monitoring and risk assessment,Comprehensive government emergency management,Adequate education for all,Widespread community awareness and preparedness,Effective mechanisms for communities to engage with government,Comprehensive city monitoring & data management,Consultative planning process,Appropriate land use and zoning,Robust planning approval process
Honolulu,5,5,4,4,5,4,4,5,4,5,3,4,4,5,5,5,5,3,3,2,2,4,3,3,4,4,5,5,4,4,5,4,5,2,5,3,3,4,4,3,2,3,3,4,5,2,5,5,4,3,4,3
Vancouver,3,2,2,1,3,2,1,3,3,1,2,2,1,4,5,4,4,4,2,1,2,1,2,3,3,2,2,5,2,2,4,2,4,4,2,3,1,1,1,1,2,3,4,5,5,1,4,4,1,2,3,1
Calgary,3,3,4,3,4,5,5,5,5,5,4,4,5,5,5,5,5,3,3,5,1,1,5,5,5,5,5,3,5,5,5,5,5,2,5,3,2,2,4,3,5,4,4,3,2,3,5,5,5,5,5,5
Toronto,5,4,3,2,5,2,3,3,4,4,3,4,2,5,5,4,4,3,3,5,3,3,4,4,2,3,2,3,4,4,5,4,5,4,4,3,5,4,3,3,4,4,4,3,4,1,5,5,5,4,4,4
Montreal,2,1,2,1,2,1,4,1,1,2,1,1,1,3,1,1,1,1,3,1,2,2,2,2,1,1,3,3,2,1,3,2,2,4,2,3,3,3,1,3,2,2,2,4,5,1,2,1,1,2,2,2
Amman,2,4,3,2,3,3,3,3,3,4,3,2,2,4,2,2,2,1,2,2,1,2,2,4,2,3,3,3,3,3,2,4,2,2,2,3,5,5,4,4,1,2,3,1,1,5,3,2,3,4,2,4
Athens,3,5,1,5,5,5,4,5,5,5,5,3,4,3,5,4,4,5,3,5,2,2,5,5,4,5,5,4,5,5,4,5,4,5,5,3,3,3,4,5,4,5,5,2,3,3,4,3,5,5,2,5
Belfast,4,4,2,4,1,4,1,3,5,1,2,4,4,1,1,1,1,1,2,3,1,2,4,2,5,2,5,2,3,2,4,1,3,5,2,3,3,2,2,2,3,3,2,4,1,1,1,1,4,1,1,1
Bristol,3,5,1,5,5,5,4,5,5,5,5,3,4,3,5,4,4,5,3,5,2,2,5,5,4,5,5,5,5,5,4,5,4,5,5,3,3,3,4,5,4,5,5,2,3,3,4,3,5,5,2,5
Byblos,1,2,1,4,2,1,1,3,1,2,4,1,5,1,2,2,3,3,1,2,3,2,1,2,3,2,4,1,1,2,2,2,2,1,3,4,3,2,2,1,1,1,3,2,1,2,1,1,2,1,3,2
